+-----------+--------------+-------+---------------------+---------------+----------------+--------------+--------+--------------+-----------------+--------------------+
|pickup_hour|payment_method|trips  |payment_share_in_hour|avg_fare_amount|avg_total_amount|avg_tip_amount|tip_rate|zero_tip_share|avg_trip_distance|avg_duration_minutes|
+-----------+--------------+-------+---------------------+---------------+----------------+--------------+--------+--------------+-----------------+--------------------+
|0          |Card          |826623 |0.876                |20.06          |30.07           |4.32          |0.2483  |0.0678        |3.96             |15.27               |
|0          |Cash          |117004 |0.124                |21.65          |27.21           |0.0           |0.0     |0.9999        |4.34             |17.56               |
|1          |Card          |541020 |0.8797               |17.66          |26.79           |3.8           |0.2447  |0.082         |3.37             |13.97               |
|1          |Cash          |74009  |0.1203               |20.52          |25.83           |0.0           |0.0     |1.0           |4.19             |16.34               |
|2          |Card          |351201 |0.8777               |16.13          |24.82           |3.49          |0.2531  |0.0959        |2.98             |12.90               |
|2          |Cash          |48915  |0.1223               |19.39          |24.62           |0.0           |0.0     |0.9999        |3.83             |15.40               |
|3          |Card          |218917 |0.8586               |17.11          |26.09           |3.64          |0.2629  |0.1068        |3.28             |12.87               |
|3          |Cash          |36042  |0.1414               |20.14          |25.52           |0.0           |0.0     |1.0           |4.05             |15.02               |
|4          |Card          |132318 |0.8131               |24.09          |35.06           |4.75          |0.3641  |0.1419        |5.03             |15.21               |
|4          |Cash          |30415  |0.1869               |22.96          |28.77           |0.0           |0.0     |1.0           |4.81             |16.10               |
|5          |Card          |155885 |0.8071               |29.59          |41.84           |5.5           |0.2312  |0.1592        |9.32             |18.58               |
|5          |Cash          |37248  |0.1929               |24.16          |30.1            |0.0           |0.0     |1.0           |5.23             |15.00               |
|6          |Card          |380656 |0.8337               |23.33          |32.9            |4.37          |0.2229  |0.1253        |5.49             |18.14               |
|6          |Cash          |75956  |0.1663               |21.77          |26.59           |0.0           |0.0     |0.9999        |4.62             |16.03               |
|7          |Card          |802079 |0.8626               |19.43          |28.23           |3.95          |0.2408  |0.0793        |4.26             |16.57               |
|7          |Cash          |127772 |0.1374               |19.75          |24.42           |0.0           |0.0     |0.9999        |3.8              |15.84               |
|8          |Card          |1135464|0.8682               |18.46          |27.05           |3.86          |0.2476  |0.0671        |3.34             |16.68               |
|8          |Cash          |172424 |0.1318               |18.91          |23.59           |0.0           |0.0     |0.9999        |3.34             |16.29               |
|9          |Card          |1276559|0.8446               |18.66          |27.5            |3.99          |0.2416  |0.0642        |3.46             |17.01               |
|9          |Cash          |234803 |0.1554               |18.3           |22.89           |0.0           |0.0     |0.9999        |3.06             |16.23               |
|10         |Card          |1375475|0.8269               |19.13          |28.22           |4.14          |0.2413  |0.0612        |3.62             |17.61               |
|10         |Cash          |287891 |0.1731               |18.38          |22.96           |0.0           |0.0     |1.0           |3.0              |16.92               |
|11         |Card          |1485950|0.8235               |19.46          |28.56           |4.2           |0.2472  |0.0614        |3.19             |18.21               |
|11         |Cash          |318582 |0.1765               |18.33          |22.88           |0.0           |0.0     |0.9999        |2.89             |17.29               |
|12         |Card          |1610213|0.8226               |19.95          |29.2            |4.3           |0.2406  |0.0604        |3.32             |18.73               |
|12         |Cash          |347317 |0.1774               |18.49          |23.06           |0.0           |0.0     |0.9999        |2.91             |17.66               |
|13         |Card          |1667793|0.8221               |20.7           |30.22           |4.47          |0.2401  |0.0577        |3.56             |19.41               |
|13         |Cash          |360841 |0.1779               |19.1           |23.72           |0.0           |0.0     |0.9999        |3.11             |18.35               |
|14         |Card          |1796777|0.8253               |21.44          |31.21           |4.63          |0.2405  |0.0554        |3.72             |20.47               |
|14         |Cash          |380386 |0.1747               |20.05          |24.78           |0.0           |0.0     |1.0           |3.44             |19.69               |
|15         |Card          |1862568|0.8304               |21.32          |31.03           |4.59          |0.2388  |0.054         |3.63             |20.92               |
|15         |Cash          |380355 |0.1696               |20.44          |25.21           |0.0           |0.0     |0.9999        |3.38             |20.49               |
|16         |Card          |1910590|0.8405               |21.34          |32.99           |4.86          |0.2583  |0.0519        |3.69             |20.82               |
|16         |Cash          |362527 |0.1595               |20.72          |27.18           |0.0           |0.0     |1.0           |3.44             |20.61               |
|17         |Card          |2097224|0.8574               |19.57          |30.74           |4.53          |0.2631  |0.0466        |3.26             |19.01               |
|17         |Cash          |348796 |0.1426               |20.41          |26.92           |0.0           |0.0     |1.0           |3.41             |19.98               |
|18         |Card          |2203311|0.8658               |18.29          |29.18           |4.31          |0.2703  |0.0422        |3.05             |16.99               |
|18         |Cash          |341648 |0.1342               |19.14          |25.55           |0.0           |0.0     |0.9999        |3.21             |17.94               |
|19         |Card          |1947992|0.8694               |18.4           |29.31           |4.31          |0.2756  |0.0436        |3.28             |16.08               |
|19         |Cash          |292634 |0.1306               |19.49          |25.89           |0.0           |0.0     |1.0           |3.45             |17.07               |
|20         |Card          |1771028|0.8722               |18.89          |29.0            |4.31          |0.2552  |0.0413        |3.56             |15.73               |
|20         |Cash          |259565 |0.1278               |19.21          |24.79           |0.0           |0.0     |1.0           |3.54             |16.42               |
|21         |Card          |1801744|0.8772               |19.02          |29.07           |4.34          |0.2545  |0.0391        |3.51             |15.63               |
|21         |Cash          |252297 |0.1228               |18.92          |24.4            |0.0           |0.0     |1.0           |3.48             |15.84               |
